id,title,genre,release_year,avg_rating,rating_count,description
1,肖申克的救赎,"剧情,犯罪",1994,9.0,1,银行家安迪因被误判杀害妻子及其情人而入狱，在肖申克监狱中经历了种种磨难，最终凭借智慧和毅力重获自由。讲述了一个关于希望、友谊和救赎的动人故事。
2,霸王别姬,"剧情,爱情,历史",1993,6.0,4008,段小楼与程蝶衣从小在京剧班学艺，两人合演《霸王别姬》成名。历经半个世纪的悲欢离合，演绎了一段荡气回肠的情感故事。
3,阿甘正传,"剧情,喜剧,爱情",1994,8.5,4711,智商只有75的阿甘，凭借着自己的执着和纯真，经历了美国几十年的重大历史事件，创造了一个又一个奇迹。
4,星际穿越,"科幻,冒险,剧情",2014,7.6,3701,未来地球面临粮食危机，前NASA宇航员库珀被选中穿越虫洞，前往另一个星系寻找人类新家园。一部融合了科学与情感的壮丽史诗。
5,盗梦空间,"科幻,动作,悬疑",2010,8.0,1,专业窃贼柯布能在人们梦境中窃取秘密，为回到孩子身边，他接受了一项看似不可能的任务——在目标人物的潜意识中植入一个想法。
6,泰坦尼克号,"爱情,灾难,剧情",1997,7.9,2036,1912年泰坦尼克号首航，穷画家杰克与贵族少女罗丝在船上相遇相恋，却遭遇了人类历史上最大的海难之一。
7,千与千寻,"动画,奇幻,冒险",2001,7.3,2132,10岁少女千寻随父母搬家途中误入神灵世界，父母因贪吃变成了猪，千寻必须在这个奇幻世界中工作生存，寻找解救父母的办法。
8,教父,"犯罪,剧情",1972,8.5,1810,黑手党柯里昂家族的故事。维托·柯里昂是纽约最有权势的黑帮首领，他的小儿子迈克尔从不愿涉足家族事务，到最终成为新一代教父。
9,蝙蝠侠：黑暗骑士,"动作,犯罪,剧情",2008,6.2,4135,蝙蝠侠面对有史以来最疯狂的对手——小丑。小丑制造了一系列混乱，企图让哥谭市陷入无序，蝙蝠侠必须在规则与正义之间做出选择。
10,美丽人生,"剧情,喜剧,战争",1997,6.1,2348,犹太青年圭多用幽默和想象力在纳粹集中营中保护儿子的幼小心灵，让残酷的现实变成了一场游戏。
11,怦然心动,"爱情,剧情,家庭",2010,9.5,155,从二年级开始，朱莉就喜欢上了邻居布莱斯。随着岁月流逝，两人的关系经历了微妙的变化，这是一个关于成长和初恋的温暖故事。
12,楚门的世界,"剧情,喜剧,科幻",1998,6.5,4178,楚门从出生起就生活在由一个巨大的摄影棚构建的世界中，他的一切都是被安排好的真人秀。当他发现真相后，必须决定是否走出这个虚假的世界。
13,功夫,"动作,喜剧,奇幻",2004,7.3,4227,小混混阿星误闯猪笼城寨，意外卷入了斧头帮与隐世高手之间的对决。一部集武打、搞笑、特效于一体的周星驰经典之作。
14,辛德勒的名单,"剧情,历史,战争",1993,6.9,113,二战期间，德国商人辛德勒目睹纳粹对犹太人的残酷迫害后，倾尽家财拯救了1100多名犹太人的生命。
15,机器人总动员,"动画,科幻,冒险",2008,6.8,3570,地球被垃圾覆盖，孤独的清扫机器人瓦力在日复一日的工作中，遇到了来自外太空的搜索机器人伊芙，一段跨越银河的爱情故事就此展开。
16,无间道,"犯罪,悬疑,剧情",2002,6.2,1205,警方卧底陈永仁与黑帮卧底刘建明分别潜入对方组织，两人在身份错位中展开了一场紧张的对决，都想找出对方的真实身份。
17,疯狂动物城,"动画,冒险,喜剧",2016,7.0,1376,兔子朱迪成为动物城第一位兔警官，与狡猾的狐狸尼克搭档，揭开了一桩动物失踪案背后的阴谋。
18,海上钢琴师,"剧情,音乐,爱情",1998,6.4,490,1900年，一个被遗弃在豪华邮轮上的婴儿成长为一位钢琴天才。他一生从未踏上陆地，用音乐诠释着对世界的理解。
19,大话西游,"喜剧,奇幻,爱情",1995,6.5,1923,至尊宝为了救紫霞仙子穿越时空，在荒诞的旅途中逐渐领悟了爱情的真谛。一部集喜剧与悲剧于一体的经典之作。
20,放牛班的春天,"剧情,音乐",2004,7.0,1500,落魄音乐家克莱芒来到一所名为'池塘之底'的男子寄宿学校担任代课教师，用音乐感化了一群问题少年。
21,黑客帝国,"科幻,动作",1999,9.0,1,黑客尼奥发现看似正常的现实世界实际上是由一个名为'矩阵'的计算机人工智能系统控制的虚拟世界。他加入了反抗组织，开始对抗矩阵。
22,飞屋环游记,"动画,冒险,剧情",2009,9.1,2193,78岁的老人卡尔用成千上万个气球将自己的房子升上天空，前往南美探险。意外带上8岁的小男孩罗素，两人经历了一段难忘的冒险。
23,致命魔术,"悬疑,剧情,科幻",2006,8.4,4504,19世纪末的伦敦，两位魔术师为争夺观众和行业顶尖地位展开了长期而残酷的竞争，彼此不惜一切代价互相拆台和超越。
24,你的名字。,"动画,爱情,奇幻",2016,7.0,1,生活在乡下的三叶和东京男孩泷在某天早晨醒来发现彼此互换了身体。穿越时空的奇妙缘分，编织出一段感人至深的故事。
25,复仇者联盟,"动作,科幻,冒险",2012,9.0,1,神盾局长尼克·弗瑞集结钢铁侠、美国队长、雷神、绿巨人、黑寡妇和鹰眼，组成了超级英雄团队'复仇者联盟'，共同对抗外星入侵者。
